,precision,recall,f1-score,support
0,0.9574468085106383,1.0,0.9782608695652174,90.0
1,1.0,0.9245283018867925,0.9607843137254902,53.0
accuracy,0.972027972027972,0.972027972027972,0.972027972027972,0.972027972027972
macro avg,0.9787234042553192,0.9622641509433962,0.9695225916453538,143.0
weighted avg,0.9732182710906115,0.972027972027972,0.9717835446735703,143.0
