,precision,recall,f1-score,support
0,0.9456521739130435,0.9666666666666667,0.9560439560439561,90.0
1,0.9411764705882353,0.9056603773584906,0.9230769230769231,53.0
accuracy,0.9440559440559441,0.9440559440559441,0.9440559440559441,0.9440559440559441
macro avg,0.9434143222506394,0.9361635220125786,0.9395604395604396,143.0
weighted avg,0.9439933468066459,0.9440559440559441,0.9438254053638668,143.0
