,precision,recall,f1-score,support
0,0.956989247311828,0.9888888888888889,0.9726775956284153,90.0
1,0.98,0.9245283018867925,0.9514563106796117,53.0
accuracy,0.965034965034965,0.965034965034965,0.965034965034965,0.965034965034965
macro avg,0.968494623655914,0.9567085953878407,0.9620669531540135,143.0
weighted avg,0.9655177080983532,0.965034965034965,0.9648123641438936,143.0
