,precision,recall,f1-score,support
0,0.9361702127659575,0.9777777777777777,0.9565217391304348,90.0
1,0.9591836734693877,0.8867924528301887,0.9215686274509803,53.0
accuracy,0.9440559440559441,0.9440559440559441,0.9440559440559441,0.9440559440559441
macro avg,0.9476769431176726,0.9322851153039833,0.9390451832907076,143.0
weighted avg,0.9446996772224734,0.9440559440559441,0.9435670893471406,143.0
